Feature,H_statistic,Raw_p_value,FDR_p_value,Significant_raw,Significant_FDR,Effect_size_eta_squared,Group_counts,Group_means
flesch_reading_ease,42.61633525754678,2.968674915482598e-09,1.6887441068572203e-08,True,True,0.20961023945791946,"[26, 50, 54, 63]","[np.float64(49.08448534153918), np.float64(48.56707008011456), np.float64(47.2292787957368), np.float64(45.56522805530139)]"
international,42.136763700941124,3.752764681904934e-09,1.6887441068572203e-08,True,True,0.20707282381450332,"[26, 50, 54, 63]","[np.float64(0.17692307692307693), np.float64(0.17600000000000002), np.float64(0.4333333333333333), np.float64(0.9111111111111112)]"
vocational,19.70099349850127,0.00019576549807990613,0.0005872964942397184,True,True,0.08836504496561517,"[26, 50, 54, 63]","[np.float64(11.046153846153846), np.float64(10.611999999999998), np.float64(10.470370370370368), np.float64(9.701587301587303)]"
sentiment_subjectivity,19.07451076827067,0.0002638694733575373,0.000593706315054459,True,True,0.08505032152524164,"[26, 50, 54, 63]","[np.float64(0.3814882959868781), np.float64(0.38005603803598936), np.float64(0.3737444805721078), np.float64(0.3687396498921831)]"
bridging,17.258741189679476,0.000625212436246367,0.0011253823852434607,True,True,0.07544307507766919,"[26, 50, 54, 63]","[np.float64(1.6538461538461537), np.float64(1.32), np.float64(1.0148148148148148), np.float64(0.9682539682539681)]"
grammatical_analysis,6.4245576260168535,0.09268572157773028,0.13902858236659543,False,False,0.01811935251860769,"[26, 50, 54, 63]","[np.float64(924.5923076923076), np.float64(922.1360000000001), np.float64(922.9407407407409), np.float64(908.0095238095238)]"
academic,5.213046114859328,0.15684525887672293,0.20165818998435805,False,False,0.011709238702959406,"[26, 50, 54, 63]","[np.float64(22.27692307692308), np.float64(21.532000000000004), np.float64(22.28148148148148), np.float64(22.374603174603177)]"
otherTypesOfSchool,1.9903014130460541,0.57442212094279,0.6462248860606388,False,False,0.0,"[26, 50, 54, 63]","[np.float64(0.42307692307692313), np.float64(0.4159999999999999), np.float64(0.374074074074074), np.float64(0.47301587301587306)]"
userConsiderations,0.2502277671570461,0.9691003029098294,0.9691003029098294,False,False,0.0,"[26, 50, 54, 63]","[np.float64(19.623076923076923), np.float64(19.652), np.float64(19.748148148148147), np.float64(19.647619047619045)]"
